bill_ID,value,kategori
348,11,sangat sering
349,10,sering
350,5,jarang
351,5,jarang
352,4,jarang
353,5,jarang
354,9,sering
355,8,sering
356,3,jarang
357,9,sering
358,6,sering
359,4,jarang
360,10,sering
361,1,jarang
362,1,jarang
363,7,sering
364,2,jarang
365,1,jarang
366,6,sering
367,3,jarang
368,6,sering
369,18,sangat sering
370,5,jarang
371,14,sangat sering
372,8,sering
373,21,sangat sering
374,8,sering
375,5,jarang
376,8,sering
377,5,jarang
378,4,jarang
379,11,sangat sering
380,4,jarang
381,8,sering
382,12,sangat sering
383,9,sering
384,7,sering
385,11,sangat sering
386,10,sering
387,11,sangat sering
388,7,sering
389,2,jarang
390,4,jarang
391,2,jarang
392,7,sering
393,3,jarang
394,6,sering
395,22,sangat sering
396,29,sangat sering
397,7,sering
398,10,sering
399,11,sangat sering
400,6,sering
401,16,sangat sering
402,26,sangat sering
403,18,sangat sering
404,9,sering
405,7,sering
406,8,sering
407,7,sering
408,7,sering
409,10,sering
410,5,jarang
411,18,sangat sering
412,7,sering
413,5,jarang
414,6,sering
415,2,jarang
416,3,jarang
417,4,jarang
418,5,jarang
419,4,jarang
420,7,sering
421,12,sangat sering
422,8,sering
423,11,sangat sering
424,9,sering
425,8,sering
426,7,sering
427,12,sangat sering
428,2,jarang
429,3,jarang
430,15,sangat sering
431,2,jarang
432,7,sering
433,2,jarang
434,9,sering
435,5,jarang
436,4,jarang
437,12,sangat sering
438,5,jarang
439,16,sangat sering
440,11,sangat sering
441,6,sering
442,11,sangat sering
443,5,jarang
444,7,sering
445,19,sangat sering
446,10,sering
447,1,jarang
448,5,jarang
449,6,sering
450,10,sering
451,3,jarang
452,3,jarang
453,4,jarang
454,3,jarang
455,3,jarang
456,5,jarang
457,6,sering
458,9,sering
459,2,jarang
460,8,sering
461,1,jarang
462,3,jarang
463,2,jarang
464,2,jarang
465,11,sangat sering
466,5,jarang
467,1,jarang
468,4,jarang
469,2,jarang
470,4,jarang
471,7,sering
472,3,jarang
473,4,jarang
474,4,jarang
475,4,jarang
476,2,jarang
477,2,jarang
478,4,jarang
479,4,jarang
480,4,jarang
481,2,jarang
482,3,jarang
483,4,jarang
484,4,jarang
485,2,jarang
486,3,jarang
487,3,jarang
488,4,jarang
489,4,jarang
490,4,jarang
491,8,sering
492,5,jarang
493,5,jarang
494,5,jarang
495,10,sering
496,2,jarang
497,3,jarang
498,4,jarang
499,1,jarang
500,4,jarang
501,2,jarang
502,3,jarang
503,3,jarang
504,1,jarang
505,1,jarang
